id	tool	original_report_relative_to_reports_reports	source_path	original_line	original_column	rule	original_finding	current_edit_locus	author_disposition	source_correction
K011	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	464	66	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLifecycle.kt:668-718	EDIT_AUTHORED_NOT_RERUN	Move enter into existing creator; wrap initial guard; extract only failed-entry restoration, forwarding original local frame.
K012	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	464	72	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLifecycle.kt:668-718	EDIT_AUTHORED_NOT_RERUN	Move enter into existing creator; wrap initial guard; extract only failed-entry restoration, forwarding original local frame.
K013	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	464	82	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLifecycle.kt:668-718	EDIT_AUTHORED_NOT_RERUN	Move enter into existing creator; wrap initial guard; extract only failed-entry restoration, forwarding original local frame.
K014	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	464	89	standard:argument-list-wrapping	"Missing newline before "")"""	PoolLifecycle.kt:668-718	EDIT_AUTHORED_NOT_RERUN	Move enter into existing creator; wrap initial guard; extract only failed-entry restoration, forwarding original local frame.
K015	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	464	93	standard:binary-expression-wrapping	Line is exceeding max line length. Break line after '||' in binary expression	PoolLifecycle.kt:668-718	EDIT_AUTHORED_NOT_RERUN	Move enter into existing creator; wrap initial guard; extract only failed-entry restoration, forwarding original local frame.
K016	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	464	122	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLifecycle.kt:668-718	EDIT_AUTHORED_NOT_RERUN	Move enter into existing creator; wrap initial guard; extract only failed-entry restoration, forwarding original local frame.
K017	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	464	137	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLifecycle.kt:668-718	EDIT_AUTHORED_NOT_RERUN	Move enter into existing creator; wrap initial guard; extract only failed-entry restoration, forwarding original local frame.
K018	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	464	153	standard:argument-list-wrapping	"Missing newline before "")"""	PoolLifecycle.kt:668-718	EDIT_AUTHORED_NOT_RERUN	Move enter into existing creator; wrap initial guard; extract only failed-entry restoration, forwarding original local frame.
K019	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	464	161	standard:max-line-length	Exceeded max line length (160)	PoolLifecycle.kt:668-718	EDIT_AUTHORED_NOT_RERUN	Move enter into existing creator; wrap initial guard; extract only failed-entry restoration, forwarding original local frame.
K020	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	543	74	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLifecycle.kt:755-767	EDIT_AUTHORED_NOT_RERUN	Move failBeforeEnd into existing creator; split guard owner/authentication then setup/ended, same lazy order.
K021	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	543	80	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLifecycle.kt:755-767	EDIT_AUTHORED_NOT_RERUN	Move failBeforeEnd into existing creator; split guard owner/authentication then setup/ended, same lazy order.
K022	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	543	90	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLifecycle.kt:755-767	EDIT_AUTHORED_NOT_RERUN	Move failBeforeEnd into existing creator; split guard owner/authentication then setup/ended, same lazy order.
K023	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	543	97	standard:argument-list-wrapping	"Missing newline before "")"""	PoolLifecycle.kt:755-767	EDIT_AUTHORED_NOT_RERUN	Move failBeforeEnd into existing creator; split guard owner/authentication then setup/ended, same lazy order.
K024	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	543	126	standard:binary-expression-wrapping	Line is exceeding max line length. Break line after '||' in binary expression	PoolLifecycle.kt:755-767	EDIT_AUTHORED_NOT_RERUN	Move failBeforeEnd into existing creator; split guard owner/authentication then setup/ended, same lazy order.
K025	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	543	161	standard:max-line-length	Exceeded max line length (160)	PoolLifecycle.kt:755-767	EDIT_AUTHORED_NOT_RERUN	Move failBeforeEnd into existing creator; split guard owner/authentication then setup/ended, same lazy order.
K026	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	697	38	standard:function-signature	Newline expected after opening parenthesis	PoolLifecycle.kt:588-599	EDIT_AUTHORED_NOT_RERUN	Move prepareDispatch body into existing entitlement method; multiline signature and pool issuer retained.
K027	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	697	67	standard:function-signature	Parameter should start on a newline	PoolLifecycle.kt:588-599	EDIT_AUTHORED_NOT_RERUN	Move prepareDispatch body into existing entitlement method; multiline signature and pool issuer retained.
K028	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	697	108	standard:function-signature	Parameter should start on a newline	PoolLifecycle.kt:588-599	EDIT_AUTHORED_NOT_RERUN	Move prepareDispatch body into existing entitlement method; multiline signature and pool issuer retained.
K029	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	697	138	standard:function-signature	Newline expected before closing parenthesis	PoolLifecycle.kt:588-599	EDIT_AUTHORED_NOT_RERUN	Move prepareDispatch body into existing entitlement method; multiline signature and pool issuer retained.
K030	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	697	160	standard:max-line-length	Exceeded max line length (160)	PoolLifecycle.kt:588-599	EDIT_AUTHORED_NOT_RERUN	Move prepareDispatch body into existing entitlement method; multiline signature and pool issuer retained.
K031	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	697	164	standard:function-signature	First line of body expression fits on same line as function signature	PoolLifecycle.kt:588-599	EDIT_AUTHORED_NOT_RERUN	Move prepareDispatch body into existing entitlement method; multiline signature and pool issuer retained.
K032	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycleFrames.kt	96	43	standard:function-signature	Newline expected after opening parenthesis	PoolLifecycleFrames.kt:96-102	EDIT_AUTHORED_NOT_RERUN	Wrap prepareLeaseDispatch signature, keep same expression and argument order.
K033	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycleFrames.kt	96	64	standard:function-signature	Parameter should start on a newline	PoolLifecycleFrames.kt:96-102	EDIT_AUTHORED_NOT_RERUN	Wrap prepareLeaseDispatch signature, keep same expression and argument order.
K034	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycleFrames.kt	96	79	standard:function-signature	Parameter should start on a newline	PoolLifecycleFrames.kt:96-102	EDIT_AUTHORED_NOT_RERUN	Wrap prepareLeaseDispatch signature, keep same expression and argument order.
K035	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycleFrames.kt	96	95	standard:function-signature	Parameter should start on a newline	PoolLifecycleFrames.kt:96-102	EDIT_AUTHORED_NOT_RERUN	Wrap prepareLeaseDispatch signature, keep same expression and argument order.
K036	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycleFrames.kt	96	127	standard:function-signature	Parameter should start on a newline	PoolLifecycleFrames.kt:96-102	EDIT_AUTHORED_NOT_RERUN	Wrap prepareLeaseDispatch signature, keep same expression and argument order.
K037	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycleFrames.kt	96	158	standard:function-signature	Newline expected before closing parenthesis	PoolLifecycleFrames.kt:96-102	EDIT_AUTHORED_NOT_RERUN	Wrap prepareLeaseDispatch signature, keep same expression and argument order.
K038	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycleFrames.kt	96	160	standard:max-line-length	Exceeded max line length (160)	PoolLifecycleFrames.kt:96-102	EDIT_AUTHORED_NOT_RERUN	Wrap prepareLeaseDispatch signature, keep same expression and argument order.
K039	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycleFrames.kt	96	176	standard:function-signature	First line of body expression fits on same line as function signature	PoolLifecycleFrames.kt:96-102	EDIT_AUTHORED_NOT_RERUN	Wrap prepareLeaseDispatch signature, keep same expression and argument order.
K040	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PgLifecycleDatabaseProbe.kt	51	42	standard:multiline-if-else	Missing { ... }	PgLifecycleDatabaseProbe.kt:51-55	EDIT_AUTHORED_NOT_RERUN	Brace existing creator/noncreator branches; unchanged process-only failure/success/exit handling.
K041	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PgLifecycleDatabaseProbe.kt	52	18	standard:multiline-if-else	Missing { ... }	PgLifecycleDatabaseProbe.kt:51-55	EDIT_AUTHORED_NOT_RERUN	Brace existing creator/noncreator branches; unchanged process-only failure/success/exit handling.
K042	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	274	69	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLeaseDispatchCreatorIntegrationTest.kt:278-284	EDIT_AUTHORED_NOT_RERUN	Wrap forgedToken arguments, preserving argument order and forged identities.
K043	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	274	88	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLeaseDispatchCreatorIntegrationTest.kt:278-284	EDIT_AUTHORED_NOT_RERUN	Wrap forgedToken arguments, preserving argument order and forged identities.
K044	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	274	95	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLeaseDispatchCreatorIntegrationTest.kt:278-284	EDIT_AUTHORED_NOT_RERUN	Wrap forgedToken arguments, preserving argument order and forged identities.
K045	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	274	119	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLeaseDispatchCreatorIntegrationTest.kt:278-284	EDIT_AUTHORED_NOT_RERUN	Wrap forgedToken arguments, preserving argument order and forged identities.
K046	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	274	161	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLeaseDispatchCreatorIntegrationTest.kt:278-284	EDIT_AUTHORED_NOT_RERUN	Wrap forgedToken arguments, preserving argument order and forged identities.
K047	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	274	161	standard:max-line-length	Exceeded max line length (160)	PoolLeaseDispatchCreatorIntegrationTest.kt:278-284	EDIT_AUTHORED_NOT_RERUN	Wrap forgedToken arguments, preserving argument order and forged identities.
K048	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	274	165	standard:argument-list-wrapping	"Missing newline before "")"""	PoolLeaseDispatchCreatorIntegrationTest.kt:278-284	EDIT_AUTHORED_NOT_RERUN	Wrap forgedToken arguments, preserving argument order and forged identities.
K049	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	349	131	standard:function-signature	Newline expected before expression body	PoolLeaseDispatchCreatorIntegrationTest.kt:359-411	EDIT_AUTHORED_NOT_RERUN	Wrap expression body and reindent same existing test statements and finally scopes.
K050	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	349	148	standard:argument-list-wrapping	Argument should be on a separate line (unless all arguments can fit a single line)	PoolLeaseDispatchCreatorIntegrationTest.kt:359-411	EDIT_AUTHORED_NOT_RERUN	Wrap expression body and reindent same existing test statements and finally scopes.
K051	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	349	161	standard:max-line-length	Exceeded max line length (160)	PoolLeaseDispatchCreatorIntegrationTest.kt:359-411	EDIT_AUTHORED_NOT_RERUN	Wrap expression body and reindent same existing test statements and finally scopes.
K052	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	349	162	standard:argument-list-wrapping	"Missing newline before "")"""	PoolLeaseDispatchCreatorIntegrationTest.kt:359-411	EDIT_AUTHORED_NOT_RERUN	Wrap expression body and reindent same existing test statements and finally scopes.
K053	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	349	166	standard:function-literal	Newline expected before parameter	PoolLeaseDispatchCreatorIntegrationTest.kt:359-411	EDIT_AUTHORED_NOT_RERUN	Wrap expression body and reindent same existing test statements and finally scopes.
K054	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	349	168	standard:function-literal	Newline expected before arrow	PoolLeaseDispatchCreatorIntegrationTest.kt:359-411	EDIT_AUTHORED_NOT_RERUN	Wrap expression body and reindent same existing test statements and finally scopes.
K055	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	562	60	standard:wrapping	"Missing newline after ""("""	PoolLeaseDispatchCreatorIntegrationTest.kt:573-584	EDIT_AUTHORED_NOT_RERUN	Wrap requireNotNull around same newThread lambda; no worker lifecycle change.
K056	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	571	33	standard:wrapping	"Missing newline before "")"""	PoolLeaseDispatchCreatorIntegrationTest.kt:573-584	EDIT_AUTHORED_NOT_RERUN	Wrap requireNotNull around same newThread lambda; no worker lifecycle change.
K057	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	594	48	standard:statement-wrapping	Missing newline after '{'	PoolLeaseDispatchCreatorIntegrationTest.kt:607-612	EDIT_AUTHORED_NOT_RERUN	Put existing requireConnectionFree and true statements on separate lines in same runCatching.
K058	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	594	72	standard:statement-wrapping	Missing newline after ';'	PoolLeaseDispatchCreatorIntegrationTest.kt:607-612	EDIT_AUTHORED_NOT_RERUN	Put existing requireConnectionFree and true statements on separate lines in same runCatching.
K059	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	594	78	standard:statement-wrapping	Missing newline before '}'	PoolLeaseDispatchCreatorIntegrationTest.kt:607-612	EDIT_AUTHORED_NOT_RERUN	Put existing requireConnectionFree and true statements on separate lines in same runCatching.
K060	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	656	5	standard:function-signature	No whitespace expected between opening parenthesis and first parameter name	PoolLeaseDispatchCreatorIntegrationTest.kt:673	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged withCreatorCall parameter list.
K061	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	657	5	standard:function-signature	Single whitespace expected before parameter	PoolLeaseDispatchCreatorIntegrationTest.kt:673	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged withCreatorCall parameter list.
K062	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	658	5	standard:function-signature	Single whitespace expected before parameter	PoolLeaseDispatchCreatorIntegrationTest.kt:673	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged withCreatorCall parameter list.
K063	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	658	39	standard:function-signature	No whitespace expected between last parameter and closing parenthesis	PoolLeaseDispatchCreatorIntegrationTest.kt:673	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged withCreatorCall parameter list.
K064	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	677	5	standard:class-signature	No whitespace expected between opening parenthesis and first parameter name	PoolLeaseDispatchCreatorIntegrationTest.kt:690-691	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged ActualCreatorCall parameters; wrap AutoCloseable supertype.
K065	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	678	5	standard:class-signature	Single whitespace expected before parameter	PoolLeaseDispatchCreatorIntegrationTest.kt:690-691	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged ActualCreatorCall parameters; wrap AutoCloseable supertype.
K066	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	679	5	standard:class-signature	Single whitespace expected before parameter	PoolLeaseDispatchCreatorIntegrationTest.kt:690-691	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged ActualCreatorCall parameters; wrap AutoCloseable supertype.
K067	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	679	40	standard:class-signature	No whitespace expected between last parameter and closing parenthesis	PoolLeaseDispatchCreatorIntegrationTest.kt:690-691	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged ActualCreatorCall parameters; wrap AutoCloseable supertype.
K068	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	680	5	standard:class-signature	Super type should start on a newline	PoolLeaseDispatchCreatorIntegrationTest.kt:690-691	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged ActualCreatorCall parameters; wrap AutoCloseable supertype.
